area,size_marla,bedrooms,bathrooms,property_age,has_garage,has_servant_quarter,has_basement,corner_plot,near_park,gated_society,property_type,price_lakhs
Gulberg III-V,9.6,4,3,35,0,0,1,0,0,0,Lower Portion,779.3
Bahria Town,13.6,5,5,18,1,1,1,0,0,1,House,1764.31
Gulberg III-V,7.3,3,2,8,0,0,0,0,0,0,Upper Portion,1154.11
Gulberg III-V,10.4,5,5,18,1,1,0,0,1,0,House,1642.57
DHA Phase 1-3,20.1,6,5,35,1,1,0,0,1,1,House,3167.91
Valencia,9.6,3,2,18,0,0,0,0,1,1,House,1164.32
Bahria Town,9.9,4,4,18,1,0,0,0,0,1,Flat,1105.98
DHA Phase 1-3,10.2,5,5,35,1,1,0,0,1,1,Upper Portion,1787.95
Gulberg III-V,20.3,5,4,1,1,0,1,0,1,0,House,3514.79
Samanabad,6.6,4,3,18,0,0,0,0,0,0,Flat,338.54
Gulberg I-II,6.5,4,4,25,0,0,0,0,0,0,Upper Portion,1124.09
DHA Phase 7-9,14.2,4,4,35,0,1,0,0,0,1,House,2157.47
Bahria Town,19.9,4,3,2,1,1,0,0,0,1,House,2398.12
Shahdara,4.8,2,2,8,0,0,1,0,0,0,House,287.61
Gulberg I-II,6.5,3,3,18,1,0,0,0,0,0,Upper Portion,1171.93
Iqbal Town,5.0,4,3,3,0,0,0,0,0,0,House,492.54
Wapda Town,7.4,3,3,12,0,1,0,0,0,0,Flat,709.89
Gulberg I-II,10.5,5,5,3,1,1,0,0,0,0,Upper Portion,1957.02
Wapda Town,14.1,5,5,5,1,1,1,1,0,0,House,1342.37
Model Town,14.0,4,4,8,1,1,1,0,0,0,House,1608.98
Garden Town,13.6,5,4,12,1,1,1,0,0,0,House,1966.79
Garden Town,10.0,4,4,8,1,1,0,0,0,0,House,1488.11
Lake City,19.9,4,4,8,0,1,1,0,1,1,House,2245.42
DHA Phase 4-6,10.1,5,4,3,0,0,0,0,0,1,Upper Portion,1586.18
Allama Iqbal Town,39.9,6,5,2,0,0,0,0,0,0,Upper Portion,2351.45
Model Town,13.7,4,4,0,1,1,0,0,0,0,House,1882.42
DHA Phase 7-9,4.6,3,3,2,0,0,1,0,1,1,Lower Portion,540.88
DHA Phase 1-3,13.8,4,4,12,1,1,0,1,0,1,House,2158.69
Valencia,6.6,3,3,25,1,0,0,0,1,1,Lower Portion,778.37
Iqbal Town,13.7,4,4,2,1,0,0,0,0,0,House,1107.91
DHA Phase 1-3,5.5,4,4,1,1,0,0,0,0,1,Upper Portion,1108.29
Bahria Town,6.9,3,2,18,1,0,1,0,1,1,Upper Portion,805.62
Gulberg I-II,20.0,7,6,5,1,1,1,0,0,0,Upper Portion,3225.64
Garden Town,7.4,4,4,35,1,1,0,0,0,0,House,743.82
DHA Phase 7-9,20.5,6,5,18,1,1,0,0,0,1,House,2482.39
Iqbal Town,7.1,3,2,5,0,0,1,0,0,0,House,581.82
Johar Town,14.3,4,4,3,1,1,0,0,0,0,House,1252.12
Township,13.8,5,4,12,1,0,0,0,0,0,House,788.52
DHA Phase 7-9,9.8,3,2,0,0,0,0,0,0,1,House,1154.44
Model Town,6.9,3,3,1,0,0,1,0,0,0,House,936.09
DHA Phase 4-6,7.2,3,3,2,0,0,0,0,0,1,Flat,1246.48
Township,5.2,3,3,25,0,0,1,1,0,0,Upper Portion,272.79
Faisal Town,6.8,4,3,8,1,0,1,1,0,0,House,658.58
Gulberg III-V,13.6,5,5,0,1,0,0,1,0,0,House,1718.91
Garden Town,20.1,6,5,18,1,0,1,0,0,0,House,2224.71
Allama Iqbal Town,19.6,5,5,8,1,0,0,0,0,0,House,1451.43
Lake City,14.1,5,5,8,0,1,1,1,0,1,Upper Portion,1701.78
Lake City,20.2,6,6,2,1,1,0,1,0,1,House,2489.85
Gulberg I-II,14.2,4,4,12,1,1,0,0,0,0,Upper Portion,2898.86
DHA Phase 4-6,7.3,4,3,35,1,0,0,0,0,1,Upper Portion,1134.49
Samanabad,20.4,5,4,0,1,0,0,1,0,0,House,1272.05
Samanabad,14.0,4,4,3,1,1,0,0,1,0,Upper Portion,765.25
Garden Town,10.2,5,4,3,1,1,0,0,1,0,House,1151.93
Model Town,5.1,3,3,3,1,0,0,0,0,0,House,734.6
Model Town,9.7,3,3,5,0,0,1,0,0,0,House,1188.73
Wapda Town,9.5,4,3,25,1,1,0,0,1,0,Flat,1025.45
Samanabad,19.8,5,4,35,1,1,0,0,0,0,House,981.09
Samanabad,9.9,4,4,2,1,0,0,0,0,0,House,683.35
Allama Iqbal Town,10.1,4,4,12,1,1,1,1,0,0,House,727.52
Garden Town,40.3,5,5,12,1,1,1,0,0,0,House,4575.55
DHA Phase 4-6,4.7,3,2,12,0,0,0,0,0,1,Lower Portion,808.25
DHA Phase 7-9,9.6,4,4,8,0,0,0,0,0,1,House,1214.15
Samanabad,5.5,3,3,2,1,1,0,0,1,0,House,368.31
Valencia,13.6,4,4,8,1,1,1,0,0,1,House,1540.76
DHA Phase 1-3,20.0,4,4,8,1,0,1,0,1,1,House,4557.01
DHA Phase 4-6,7.1,3,3,25,0,0,0,0,0,1,House,1095.25
Iqbal Town,20.0,6,6,18,1,0,0,0,0,0,House,1770.38
DHA Phase 1-3,6.6,3,2,1,0,0,1,0,0,1,House,1250.12
DHA Phase 7-9,19.6,5,5,1,1,0,1,0,0,1,House,2741.88
Lake City,13.6,5,5,35,1,1,0,1,0,1,House,1396.27
Iqbal Town,20.1,6,5,12,1,0,0,0,1,0,House,1736.36
Garden Town,5.0,3,2,25,0,0,0,0,0,0,Flat,627.82
Gulberg I-II,39.7,7,7,0,1,1,0,0,0,0,House,6123.58
Iqbal Town,14.1,5,4,12,1,1,0,0,1,0,House,1440.13
Gulberg I-II,7.3,4,4,12,1,1,1,0,1,0,House,1517.02
Model Town,19.5,5,4,25,1,0,0,0,0,0,House,2765.52
Wapda Town,7.0,3,2,1,0,0,0,0,0,0,Lower Portion,624.52
Garden Town,20.2,5,5,3,1,1,0,1,0,0,House,1669.42
Faisal Town,4.8,2,2,8,1,1,0,0,0,0,House,430.54
Garden Town,13.8,5,5,25,1,1,0,0,0,0,House,1675.22
Lake City,10.1,5,4,35,1,0,0,0,0,1,House,1071.68
DHA Phase 4-6,5.4,3,3,35,0,0,0,1,0,1,House,709.5
Model Town,7.3,4,3,35,0,0,0,0,0,0,House,1000.75
Gulberg III-V,5.1,3,3,0,0,0,1,0,0,0,Upper Portion,624.49
Gulberg I-II,10.2,4,4,0,1,1,0,0,0,0,House,1831.57
Shahdara,6.9,3,3,1,0,0,0,0,0,0,Upper Portion,354.57
Johar Town,10.1,5,5,5,1,1,1,1,0,0,House,1053.38
Samanabad,7.0,4,3,25,0,1,1,1,0,0,House,540.9
Garden Town,6.7,4,4,25,1,0,0,1,0,0,Lower Portion,756.24
Allama Iqbal Town,14.2,4,3,2,1,1,0,0,0,0,House,1162.56
Bahria Town,5.1,3,2,12,0,1,1,1,0,1,Upper Portion,531.14
Valencia,19.9,5,5,35,1,1,0,0,1,1,House,2700.29
Bahria Town,20.4,5,5,8,1,1,0,0,0,1,House,2611.9
DHA Phase 7-9,13.5,5,4,1,1,0,0,0,0,1,House,1965.83
Wapda Town,9.8,4,3,8,0,0,1,0,0,0,House,903.48
Gulberg III-V,19.6,5,4,5,1,1,0,0,0,0,Upper Portion,2365.64
DHA Phase 1-3,7.3,4,4,12,0,1,1,0,0,1,House,1350.11
Garden Town,5.2,4,4,8,0,0,0,0,1,0,Upper Portion,752.99
DHA Phase 7-9,6.8,3,2,0,0,0,0,0,0,1,House,966.92
Township,20.2,5,4,35,1,1,0,0,0,0,House,933.41
Township,4.9,2,2,12,0,1,0,0,0,0,House,249.56
Samanabad,10.3,4,4,8,1,1,1,0,1,0,House,801.8
Johar Town,40.0,7,6,35,1,1,0,0,0,0,Upper Portion,4153.78
DHA Phase 1-3,19.9,4,3,2,1,0,0,0,1,1,House,3173.43
Township,10.4,5,4,2,1,0,0,0,1,0,House,520.56
Johar Town,4.8,2,2,25,1,0,0,1,0,0,Upper Portion,427.08
Shahdara,19.6,5,5,3,1,1,1,0,0,0,House,776.46
Shahdara,10.1,5,4,25,1,0,1,0,1,0,House,518.47
Faisal Town,5.5,4,4,3,0,0,1,0,1,0,Upper Portion,616.18
Gulberg III-V,4.9,3,3,0,1,0,0,0,0,0,House,607.51
Johar Town,19.6,4,3,8,1,1,1,1,0,0,House,1967.38
Faisal Town,13.8,4,4,2,1,1,1,0,0,0,House,1358.21
Model Town,20.0,6,5,18,1,1,0,0,0,0,House,2911.94
DHA Phase 7-9,19.7,5,4,12,1,1,1,1,0,1,House,2649.89
Lake City,10.2,4,3,35,1,1,1,0,0,1,Upper Portion,1076.7
Township,10.5,4,3,25,1,0,0,0,0,0,House,520.65
Iqbal Town,10.0,4,3,2,0,1,1,1,0,0,Lower Portion,861.34
Lake City,6.9,4,4,25,0,1,0,1,1,1,House,827.89
DHA Phase 4-6,9.9,4,4,12,0,1,0,0,0,1,Lower Portion,1849.4
Valencia,13.6,5,4,18,1,1,1,0,0,1,House,1574.38
Shahdara,14.4,5,5,25,1,0,0,1,0,0,House,705.49
DHA Phase 7-9,19.9,5,4,12,1,1,0,0,0,1,House,2379.99
Bahria Town,9.9,3,3,8,1,1,0,1,0,1,House,1231.98
Faisal Town,14.2,5,5,12,0,0,0,0,0,0,House,1259.75
Wapda Town,13.9,4,3,3,1,0,0,1,1,0,House,1466.23
Iqbal Town,10.1,4,4,2,1,1,1,0,0,0,House,817.91
Iqbal Town,13.6,4,4,12,1,0,0,1,1,0,House,1253.65
Model Town,7.3,4,4,3,1,0,0,0,1,0,Upper Portion,914.39
Gulberg III-V,10.4,4,3,0,1,0,0,0,0,0,House,1743.65
Allama Iqbal Town,5.1,3,3,0,0,0,0,0,0,0,Upper Portion,369.84
Allama Iqbal Town,10.5,4,4,12,0,0,1,1,0,0,House,675.8
Faisal Town,9.7,3,3,5,0,1,0,0,0,0,House,773.36
Samanabad,14.0,4,4,18,1,1,0,0,0,0,House,915.42
Bahria Town,20.1,5,5,5,1,1,0,1,0,1,House,2427.82
Bahria Town,14.1,4,4,8,1,1,1,1,0,1,House,1591.87
Allama Iqbal Town,13.9,5,5,8,1,0,0,1,0,0,House,1010.61
Garden Town,9.8,3,3,18,0,0,0,0,0,0,Lower Portion,1037.53
Iqbal Town,13.6,4,4,5,1,1,1,0,0,0,Upper Portion,1153.6
Allama Iqbal Town,4.9,2,2,35,1,0,1,0,0,0,Upper Portion,294.55
Samanabad,6.7,3,3,35,1,0,1,0,0,0,House,459.14
Model Town,10.2,4,4,25,1,0,0,0,0,0,House,1212.91
Johar Town,9.7,4,4,35,1,0,0,0,0,0,Flat,954.92
DHA Phase 4-6,4.6,3,3,8,0,0,0,0,0,1,House,802.97
Valencia,5.1,4,4,12,1,0,1,0,1,1,House,781.8
DHA Phase 1-3,7.1,4,3,18,0,0,0,0,1,1,Upper Portion,1496.32
Bahria Town,40.4,6,5,18,1,1,0,1,0,1,House,4970.19
Lake City,7.1,3,2,25,1,0,0,0,0,1,House,810.43
Gulberg III-V,9.8,3,2,18,0,0,1,0,0,0,Lower Portion,1210.63
Valencia,7.3,4,4,35,0,0,1,0,0,1,Upper Portion,761.86
DHA Phase 1-3,14.0,4,4,5,1,0,0,0,1,1,House,2387.21
DHA Phase 1-3,6.6,4,4,25,0,0,0,0,1,1,Upper Portion,1334.36
Allama Iqbal Town,7.1,3,2,18,1,0,0,0,0,0,Lower Portion,481.41
Model Town,10.4,5,4,18,0,0,1,0,0,0,House,1552.61
DHA Phase 4-6,4.9,3,2,5,0,0,0,0,1,1,House,968.14
Bahria Town,4.8,3,2,25,0,1,1,0,0,1,Lower Portion,489.76
Wapda Town,6.6,4,4,35,0,0,0,0,0,0,Upper Portion,576.27
Gulberg I-II,4.7,2,2,2,0,0,0,1,1,0,House,844.78
Garden Town,4.9,3,2,12,0,0,0,0,0,0,Upper Portion,571.79
DHA Phase 4-6,7.1,4,4,5,0,0,0,0,0,1,House,1148.76
DHA Phase 1-3,19.6,5,4,35,1,0,0,1,0,1,House,4158.84
Lake City,10.4,5,4,8,1,0,0,0,0,1,House,1186.07
Lake City,10.3,4,3,3,1,0,0,0,0,1,Upper Portion,1125.81
Garden Town,7.1,3,2,5,1,0,0,0,1,0,Upper Portion,812.12
Wapda Town,20.3,7,7,18,1,0,1,0,0,0,Upper Portion,2074.37
Shahdara,9.6,3,3,0,1,0,0,0,1,0,Upper Portion,414.98
Bahria Town,5.0,2,2,12,1,0,1,0,0,1,House,656.95
Model Town,14.1,4,3,35,1,1,1,1,0,0,Upper Portion,1979.71
Allama Iqbal Town,5.3,3,3,25,1,0,0,0,0,0,Flat,358.81
Gulberg III-V,7.3,4,4,0,1,0,0,0,0,0,House,1150.79
Johar Town,9.8,3,2,35,0,0,0,1,0,0,Upper Portion,950.48
DHA Phase 4-6,20.4,6,5,18,1,1,0,0,1,1,House,3418.42
DHA Phase 1-3,9.6,3,2,2,0,0,0,1,0,1,Upper Portion,1810.44
Shahdara,14.4,4,3,0,1,1,0,1,0,0,House,756.64
Allama Iqbal Town,40.5,6,5,2,1,1,0,1,0,0,House,3060.65
Iqbal Town,4.7,3,3,25,0,0,0,0,1,0,House,411.67
Johar Town,7.2,4,4,0,0,1,1,0,1,0,House,692.43
DHA Phase 7-9,9.5,4,3,3,0,0,1,0,0,1,Upper Portion,1278.94
DHA Phase 7-9,9.9,4,3,18,0,0,0,0,1,1,House,1392.62
Gulberg III-V,10.0,4,3,12,1,0,0,0,0,0,House,1493.56
Lake City,20.1,5,4,25,1,1,1,0,1,1,House,2449.44
Iqbal Town,14.4,4,4,18,1,0,0,0,1,0,House,1366.47
Garden Town,14.2,5,5,0,1,1,0,1,0,0,Upper Portion,1643.58
Gulberg III-V,7.0,3,2,25,1,1,0,0,0,0,Flat,979.83
Township,20.3,5,5,3,1,1,0,1,0,0,House,1186.56
Wapda Town,20.5,6,5,12,1,0,0,1,0,0,House,1954.98
Lake City,19.5,4,3,12,1,1,0,0,1,1,House,2125.53
Valencia,5.5,4,4,2,1,0,0,0,1,1,Upper Portion,770.1
Johar Town,13.6,4,3,35,1,1,0,0,1,0,House,1385.01
Gulberg III-V,5.3,3,3,8,1,0,0,0,0,0,Upper Portion,885.95
Model Town,6.8,4,3,0,0,1,0,0,1,0,Lower Portion,926.48
Wapda Town,4.6,3,2,35,0,0,1,0,0,0,House,380.86
DHA Phase 1-3,13.9,4,3,12,1,1,1,0,1,1,Upper Portion,2475.97
DHA Phase 4-6,14.1,5,4,18,0,0,0,0,0,1,Upper Portion,2500.31
DHA Phase 1-3,4.9,2,2,12,1,0,0,0,0,1,Lower Portion,718.68
DHA Phase 1-3,9.6,3,2,25,0,0,0,0,0,1,House,1480.3
Faisal Town,10.1,4,4,0,1,1,0,0,0,0,House,865.87
Iqbal Town,10.4,4,4,3,1,1,1,0,0,0,House,1082.36
Bahria Town,4.9,3,2,8,1,0,1,0,0,1,Flat,701.74
DHA Phase 4-6,9.7,4,4,0,1,0,0,0,0,1,Lower Portion,1583.54
Bahria Town,13.9,4,3,18,1,0,1,1,0,1,House,1860.78
Bahria Town,4.5,3,3,5,0,0,0,0,0,1,Flat,548.81
DHA Phase 7-9,5.3,3,3,3,0,0,0,0,0,1,House,617.2
Johar Town,10.3,5,4,0,1,0,0,0,0,0,Upper Portion,1050.8
Johar Town,20.1,5,4,18,1,1,0,0,0,0,House,1866.81
Valencia,13.9,4,4,25,1,1,0,1,0,1,House,1904.32
Garden Town,14.3,4,3,5,1,1,0,0,0,0,House,1824.88
DHA Phase 1-3,10.1,5,4,12,1,1,0,0,1,1,House,1641.62
Johar Town,10.3,4,4,3,1,1,0,0,1,0,House,894.89
Garden Town,5.1,4,4,12,1,0,0,0,0,0,Upper Portion,651.09
Bahria Town,14.3,4,3,0,1,1,1,0,0,1,House,1206.58
Faisal Town,20.1,7,7,8,1,1,0,0,0,0,House,1567.74
Garden Town,13.9,4,3,12,1,1,0,0,0,0,House,1821.53
DHA Phase 7-9,20.5,5,4,35,1,1,1,0,0,1,House,2394.23
DHA Phase 4-6,14.0,4,4,5,1,0,1,1,0,1,House,2704.38
Garden Town,5.1,3,2,18,1,0,1,0,1,0,Flat,759.45
DHA Phase 1-3,19.7,5,5,12,1,0,0,1,1,1,House,3264.5
Valencia,5.1,4,3,35,1,0,0,1,0,1,House,640.45
Township,10.1,4,3,5,1,1,1,0,0,0,House,717.46
Valencia,4.7,3,2,5,0,1,0,0,1,1,Lower Portion,576.54
Johar Town,4.6,2,2,25,0,1,0,0,0,0,House,368.92
Garden Town,10.1,5,5,0,1,0,0,1,0,0,House,1329.62
Bahria Town,7.3,3,2,1,0,0,0,0,0,1,House,776.59
Lake City,10.0,5,5,1,1,1,1,0,0,1,House,1337.98
Township,9.7,4,4,25,0,0,0,0,0,0,House,592.03
Johar Town,5.2,4,3,0,0,0,0,0,0,0,House,530.0
